Date,Cumulative_Infected,Cumulative_recovered,Cumulative_deceased,Active_cases,Vaccination
2020-01-01,0,0,0,0,0
2020-01-02,0,0,0,0,0
2020-01-03,0,0,0,0,0
2020-01-04,0,0,0,0,0
2020-01-05,0,0,0,0,0
2020-01-06,0,0,0,0,0
2020-01-07,0,0,0,0,0
2020-01-08,0,0,0,0,0
2020-01-09,0,0,0,0,0
2020-01-10,0,0,0,0,0
2020-01-11,0,0,0,0,0
2020-01-12,0,0,0,0,0
2020-01-13,0,0,0,0,0
2020-01-14,0,0,0,0,0
2020-01-15,0,0,0,0,0
2020-01-16,0,0,0,0,0
2020-01-17,0,0,0,0,0
2020-01-18,0,0,0,0,0
2020-01-19,0,0,0,0,0
2020-01-20,0,0,0,0,0
2020-01-21,0,0,0,0,0
2020-01-22,0,0,0,0,0
2020-01-23,0,0,0,0,0
2020-01-24,0,0,0,0,0
2020-01-25,0,0,0,0,0
2020-01-26,0,0,0,0,0
2020-01-27,0,0,0,0,0
2020-01-28,0,0,0,0,0
2020-01-29,0,0,0,0,0
2020-01-30,0,0,0,0,0
2020-01-31,0,0,0,0,0
2020-02-01,0,0,0,0,0
2020-02-02,0,0,0,0,0
2020-02-03,0,0,0,0,0
2020-02-04,0,0,0,0,0
2020-02-05,0,0,0,0,0
2020-02-06,0,0,0,0,0
2020-02-07,0,0,0,0,0
2020-02-08,0,0,0,0,0
2020-02-09,0,0,0,0,0
2020-02-10,0,0,0,0,0
2020-02-11,0,0,0,0,0
2020-02-12,0,0,0,0,0
2020-02-13,0,0,0,0,0
2020-02-14,0,0,0,0,0
2020-02-15,0,0,0,0,0
2020-02-16,0,0,0,0,0
2020-02-17,0,0,0,0,0
2020-02-18,0,0,0,0,0
2020-02-19,0,0,0,0,0
2020-02-20,0,0,0,0,0
2020-02-21,0,0,0,0,0
2020-02-22,0,0,0,0,0
2020-02-23,0,0,0,0,0
2020-02-24,0,0,0,0,0
2020-02-25,0,0,0,0,0
2020-02-26,0,0,0,0,0
2020-02-27,0,0,0,0,0
2020-02-28,0,0,0,0,0
2020-02-29,0,0,0,0,0
2020-03-01,0,0,0,0,0
2020-03-02,0,0,0,0,0
2020-03-03,0,0,0,0,0
2020-03-04,0,0,0,0,0
2020-03-05,0,0,0,0,0
2020-03-06,0,0,0,0,0
2020-03-07,0,0,0,0,0
2020-03-08,0,0,0,0,0
2020-03-09,0,0,0,0,0
2020-03-10,0,0,0,0,0
2020-03-11,0,0,0,0,0
2020-03-12,0,0,0,0,0
2020-03-13,1,0,0,1,0
2020-03-14,1,0,0,1,0
2020-03-15,4,0,0,4,0
2020-03-16,5,0,0,5,0
2020-03-17,6,0,0,6,0
2020-03-18,6,0,0,6,0
2020-03-19,9,0,0,9,0
2020-03-20,9,0,0,9,0
2020-03-21,9,0,0,9,0
2020-03-22,11,0,0,11,0
2020-03-23,12,0,0,12,0
2020-03-24,12,0,0,12,0
2020-03-25,12,0,0,12,0
2020-03-26,12,0,0,12,0
2020-03-27,16,0,0,16,0
2020-03-28,19,1,0,18,0
2020-03-29,23,2,0,21,0
2020-03-30,24,2,0,22,0
2020-03-31,26,2,0,24,0
2020-04-01,29,2,0,27,0
2020-04-02,29,3,0,26,0
2020-04-03,35,3,0,32,0
2020-04-04,38,3,0,35,0
2020-04-05,43,3,2,38,0
2020-04-06,52,4,2,46,0
2020-04-07,55,4,2,49,0
2020-04-08,55,4,2,49,0
2020-04-09,56,4,2,50,0
2020-04-10,65,4,3,58,0
2020-04-11,69,10,3,56,0
2020-04-12,71,10,3,58,0
2020-04-13,74,14,3,57,0
2020-04-14,82,14,3,65,0
2020-04-15,85,15,3,67,0
2020-04-16,92,15,3,74,0
2020-04-17,96,15,3,78,0
2020-04-18,105,16,3,86,0
2020-04-19,108,16,3,89,0
2020-04-20,111,16,3,92,0
2020-04-21,114,16,3,95,0
2020-04-22,116,21,3,92,0
2020-04-23,116,21,3,92,0
2020-04-24,117,25,3,89,0
2020-04-25,122,29,3,90,0
2020-04-26,123,41,3,79,0
2020-04-27,124,50,3,71,0
2020-04-28,126,50,3,73,0
2020-04-29,130,58,3,69,0
2020-04-30,131,59,3,69,0
2020-05-01,133,66,3,64,0
2020-05-02,133,69,3,61,0
2020-05-03,135,75,3,57,0
2020-05-04,140,75,3,62,0
2020-05-05,145,91,4,50,0
2020-05-06,162,93,4,65,0
2020-05-07,187,93,4,90,0
2020-05-08,194,95,4,95,0
2020-05-09,210,97,5,108,0
2020-05-10,239,99,5,135,0
2020-05-11,250,105,5,140,0
2020-05-12,261,106,5,150,0
2020-05-13,263,108,5,150,0
2020-05-14,272,108,5,159,0
2020-05-15,287,112,5,170,0
2020-05-16,306,113,5,188,0
2020-05-17,317,113,5,199,0
2020-05-18,352,116,5,231,0
2020-05-19,365,120,5,240,0
2020-05-20,389,122,5,262,0
2020-05-21,398,123,5,270,0
2020-05-22,429,128,5,296,0
2020-05-23,494,151,5,338,0
2020-05-24,582,152,5,425,0
2020-05-25,655,159,5,491,0
2020-05-26,701,167,6,528,0
2020-05-27,731,181,6,544,0
2020-05-28,831,191,8,632,0
2020-05-29,968,191,8,769,0
2020-05-30,1063,208,8,847,0
2020-05-31,1172,209,11,952,0
2020-06-01,1257,217,12,1028,0
2020-06-02,1344,231,14,1099,0
2020-06-03,1486,246,17,1223,0
2020-06-04,1636,250,18,1368,0
2020-06-05,1805,262,19,1524,0
2020-06-06,1934,281,20,1633,0
2020-06-07,2020,344,27,1649,0
2020-06-08,2146,361,27,1758,0
2020-06-09,2336,379,32,1925,0
2020-06-10,2506,401,35,2070,0
2020-06-11,2670,434,40,2196,0
2020-06-12,2898,451,47,2400,0
2020-06-13,3166,495,55,2616,0
2020-06-14,3345,545,57,2743,0
2020-06-15,3521,620,60,2841,0
2020-06-16,3630,738,61,2831,0
2020-06-17,3759,849,63,2847,0
2020-06-18,3954,934,65,2955,0
2020-06-19,4070,1027,72,2971,0
2020-06-20,4469,1122,72,3275,0
2020-06-21,4532,1213,74,3245,0
2020-06-22,4663,1297,75,3291,0
2020-06-23,4848,1412,75,3361,0
2020-06-24,5034,1486,78,3470,0
2020-06-25,5175,1544,81,3550,0
2020-06-26,5425,1688,89,3648,0
2020-06-27,5570,2015,94,3461,0
2020-06-28,5689,2132,98,3459,0
2020-06-29,5846,2430,103,3313,0
2020-06-30,5846,2444,103,3299,0
2020-07-01,6048,2506,103,3439,0
2020-07-02,6166,2669,107,3390,0
2020-07-03,6166,2833,109,3224,0
2020-07-04,6217,2833,114,3270,0
2020-07-05,6386,3134,116,3136,0
2020-07-06,6666,3199,119,3348,0
2020-07-07,6774,3301,120,3353,0
2020-07-08,6973,3301,120,3552,0
2020-07-09,7120,3301,120,3699,0
2020-07-10,7402,3301,124,3977,0
2020-07-11,7560,4306,127,3127,0
2020-07-12,7766,4556,128,3082,0
2020-07-13,7969,4556,139,3274,0
2020-07-14,8181,4556,146,3479,0
2020-07-15,8475,4717,148,3610,0
2020-07-16,8803,4717,150,3936,0
2020-07-17,9147,4717,163,4267,0
2020-07-18,9503,4717,167,4619,0
2020-07-19,10207,4914,170,5123,0
2020-07-20,10511,5137,180,5194,0
2020-07-21,11072,5448,180,5444,0
2020-07-22,11524,5506,188,5830,0
2020-07-23,11933,5645,197,6091,0
2020-07-24,12693,5785,200,6708,0
2020-07-25,13248,5966,209,7073,0
2020-07-26,13968,6216,223,7529,0
2020-07-27,14547,6386,228,7933,0
2020-07-28,15200,6526,239,8435,0
2020-07-29,15810,6685,253,8872,0
2020-07-30,16615,6763,263,9589,0
2020-07-31,17530,6950,274,10306,0
2020-08-01,17999,7195,284,10520,0
2020-08-02,18706,7601,310,10795,0
2020-08-03,19289,7931,336,11022,0
2020-08-04,19877,8240,343,11294,0
2020-08-05,20336,8598,356,11382,0
2020-08-06,20900,9027,365,11508,0
2020-08-07,21452,9415,380,11657,0
2020-08-08,22253,9707,390,12156,0
2020-08-09,22818,10206,407,12205,0
2020-08-10,23591,10411,420,12760,0
2020-08-11,24175,10696,440,13039,0
2020-08-12,25118,11034,463,13621,0
2020-08-13,26204,11428,479,14297,0
2020-08-14,27242,11660,492,15090,0
2020-08-15,28894,12037,509,16348,0
2020-08-16,29876,12359,528,16989,0
2020-08-17,31336,12524,544,18268,0
2020-08-18,32722,12938,572,19212,0
2020-08-19,34058,13308,600,20150,0
2020-08-20,35836,13536,620,21680,0
2020-08-21,37665,13913,637,23115,0
2020-08-22,39033,14480,662,23891,0
2020-08-23,40671,14995,678,24998,0
2020-08-24,42143,15262,692,26189,0
2020-08-25,43688,15796,709,27183,0
2020-08-26,45221,16311,725,28185,0
2020-08-27,46407,16829,745,28833,0
2020-08-28,48140,17415,758,29967,0
2020-08-29,49654,18116,770,30768,0
2020-08-30,51122,18382,793,31947,0
2020-08-31,52131,18994,809,32328,0
2020-09-01,53304,19487,828,32989,0
2020-09-02,54409,19903,846,33660,0
2020-09-03,55213,20283,856,34074,0
2020-09-04,56516,20612,880,35024,0
2020-09-05,57466,20776,897,35793,0
2020-09-06,58672,21307,918,36447,0
2020-09-07,59648,21789,933,36926,0
2020-09-08,60784,22677,949,37158,0
2020-09-09,61700,23054,966,37680,0
2020-09-10,62578,23640,974,37964,0
2020-09-11,63367,24024,986,38357,0
2020-09-12,63888,24493,996,38399,0
2020-09-13,64301,24983,1013,38305,0
2020-09-14,64786,25333,1022,38431,0
2020-09-15,65486,25988,1035,38463,0
2020-09-16,66224,26665,1045,38514,0
2020-09-17,66913,27085,1060,38768,0
2020-09-18,67515,27638,1072,38805,0
2020-09-19,68131,27939,1089,39103,0
2020-09-20,68820,28314,1096,39410,0
2020-09-21,69709,28634,1108,39967,0
2020-09-22,70422,28991,1127,40304,0
2020-09-23,71083,29253,1141,40689,0
2020-09-24,71687,29461,1148,41078,0
2020-09-25,72173,29863,1155,41155,0
2020-09-26,72700,30029,1165,41506,0
2020-09-27,73332,30363,1170,41799,0
2020-09-28,73944,30753,1177,42014,0
2020-09-29,74584,30952,1191,42441,0
2020-09-30,75368,31204,1198,42966,0
2020-10-01,76098,31430,1205,43463,0
2020-10-02,76988,31677,1208,44103,0
2020-10-03,77860,32325,1214,44321,0
2020-10-04,78819,33060,1222,44537,0
2020-10-05,79437,34016,1230,44191,0
2020-10-06,80003,34960,1238,43805,0
2020-10-07,80895,35670,1255,43970,0
2020-10-08,81797,36434,1262,44101,0
2020-10-09,82662,37102,1271,44289,0
2020-10-10,83429,37683,1277,44469,0
2020-10-11,84295,38316,1287,44692,0
2020-10-12,85136,38904,1301,44931,0
2020-10-13,85718,39307,1305,45106,0
2020-10-14,86430,40165,1312,44953,0
2020-10-15,87169,40988,1325,44856,0
2020-10-16,87834,41628,1337,44869,0
2020-10-17,88434,42099,1346,44989,0
2020-10-18,89137,42649,1352,45136,0
2020-10-19,89860,43149,1365,45346,0
2020-10-20,90490,43638,1371,45481,0
2020-10-21,91118,44506,1384,45228,0
2020-10-22,91693,45260,1396,45037,0
2020-10-23,92229,46118,1400,44711,0
2020-10-24,92858,46842,1419,44597,0
2020-10-25,93343,47543,1426,44374,0
2020-10-26,93707,48150,1437,44120,0
2020-10-27,94218,48968,1445,43805,0
2020-10-28,94820,49886,1451,43483,0
2020-10-29,95301,50753,1457,43091,0
2020-10-30,95789,51713,1464,42612,0
2020-10-31,96169,52517,1469,42183,0
2020-11-01,96583,53452,1478,41653,0
2020-11-02,96942,54405,1489,41048,0
2020-11-03,97502,55254,1494,40754,0
2020-11-04,97881,56156,1503,40222,0
2020-11-05,98391,57114,1508,39769,0
2020-11-06,98746,58103,1512,39131,0
2020-11-07,99201,58948,1518,38735,0
2020-11-08,99675,59766,1523,38386,0
2020-11-09,99982,60710,1530,37742,0
2020-11-10,100327,61516,1537,37274,0
2020-11-11,100727,62497,1545,36685,0
2020-11-12,101248,63268,1554,36426,0
2020-11-13,101757,63571,1558,36628,0
